name,policy,size,assoc,level,miss
168.wupwise,2,24,32,1,0.010249149472875821
168.wupwise,2,24,4,1,0.01023040207052713
168.wupwise,2,24,64,1,0.010246849851810739
168.wupwise,2,24,8,1,0.010216476766844404
168.wupwise,2,25,16,1,0.009332913583586452
168.wupwise,2,25,32,1,0.00933810388000722
168.wupwise,2,25,4,1,0.009303262360007822
168.wupwise,2,25,64,1,0.009346616030733376
168.wupwise,2,25,8,1,0.009329162165233794
168.wupwise,l,16,16,1,0.013666182897880921
168.wupwise,l,16,32,1,0.013666182897880921
168.wupwise,l,16,4,1,0.01368962320670091
168.wupwise,l,16,64,1,0.013666182897880921
168.wupwise,l,16,8,1,0.0136677994152167
168.wupwise,l,17,16,1,0.013666182897880921
168.wupwise,l,17,32,1,0.013666182897880921
168.wupwise,l,17,4,1,0.013623375064177838
168.wupwise,l,17,64,1,0.013666182897880921
168.wupwise,l,17,8,1,0.013666182897880921
168.wupwise,l,18,16,1,0.01287196580665016
168.wupwise,l,18,32,1,0.01306564105548111
168.wupwise,l,18,4,1,0.012909510673322976
168.wupwise,l,18,64,1,0.01313229938322225
168.wupwise,l,18,8,1,0.012735141583082654
168.wupwise,l,19,16,1,0.01205148717204836
168.wupwise,l,19,32,1,0.012052231642070131
168.wupwise,l,19,4,1,0.012095268791918749
168.wupwise,l,19,64,1,0.012052283318947997
168.wupwise,l,19,8,1,0.012055668154448286
168.wupwise,l,20,16,1,0.012044415514292745
168.wupwise,l,20,32,1,0.012044415514292745
168.wupwise,l,20,4,1,0.012045192282363185
168.wupwise,l,20,64,1,0.012044415514292745
168.wupwise,l,20,8,1,0.012044415514292745
168.wupwise,l,21,16,1,0.012044415514292745
168.wupwise,l,21,32,1,0.012044415514292745
168.wupwise,l,21,4,1,0.012044268558171312
168.wupwise,l,21,64,1,0.012044415514292745
168.wupwise,l,21,8,1,0.012044415514292745
168.wupwise,l,22,16,1,0.011842723889782676
168.wupwise,l,22,32,1,0.011881024530794296
168.wupwise,l,22,4,1,0.011351047465121887
168.wupwise,l,22,64,1,0.012021574334275528
168.wupwise,l,22,8,1,0.011795021286804127
168.wupwise,l,23,16,1,0.010383591715354145
168.wupwise,l,23,32,1,0.010385641026542058
168.wupwise,l,23,4,1,0.010430801773090524
168.wupwise,l,23,64,1,0.010385880032102193
168.wupwise,l,23,8,1,0.010387903504851173
168.wupwise,l,24,16,1,0.010379081292857814
168.wupwise,l,24,32,1,0.010379081292857814
168.wupwise,l,24,4,1,0.010379081292857814
168.wupwise,l,24,64,1,0.010379081292857814
168.wupwise,l,24,8,1,0.010379081292857814
168.wupwise,l,25,16,1,0.009308830543597992
168.wupwise,l,25,32,1,0.009307138125847847
168.wupwise,l,25,4,1,0.00931795635724882
168.wupwise,l,25,64,1,0.009311380474540243
168.wupwise,l,25,8,1,0.009279967392406835
171.swim,2,16,16,1,0.08511715954957083
171.swim,2,16,32,1,0.08539924696834701
171.swim,2,16,4,1,0.08457063296166402
171.swim,2,16,64,1,0.08531705637464981
171.swim,2,16,8,1,0.08531403865635653
171.swim,2,17,16,1,0.07841790255001167
171.swim,2,17,32,1,0.0782914216521251
171.swim,2,17,4,1,0.08025286093124039
171.swim,2,17,64,1,0.07884561199662543
171.swim,2,17,8,1,0.07763273729521539
171.swim,2,18,16,1,0.07210507784578699
171.swim,2,18,32,1,0.07247088678342581
171.swim,2,18,4,1,0.0714256346914801
171.swim,2,18,64,1,0.07246887801481909
171.swim,2,18,8,1,0.07234192688246321
171.swim,2,19,16,1,0.07040221426198288
171.swim,2,19,32,1,0.07039171540242398
171.swim,2,19,4,1,0.06981910373672338
171.swim,2,19,64,1,0.07049692161461212
171.swim,2,19,8,1,0.07016131725220524
171.swim,2,20,16,1,0.06989342665337761
171.swim,2,20,32,1,0.06995427255883402
171.swim,2,20,4,1,0.06981476966627495
171.swim,2,20,64,1,0.06995530890081976
171.swim,2,20,8,1,0.06981494315083643
171.swim,2,21,16,1,0.06980843139260298
171.swim,2,21,32,1,0.06982579202310712
171.swim,2,21,4,1,0.06980717286863498
171.swim,2,21,64,1,0.06984075126204958
171.swim,2,21,8,1,0.06980793072224571
171.swim,2,22,16,1,0.06979502286215314
171.swim,2,22,32,1,0.06979525569669619
171.swim,2,22,4,1,0.06979292887306007
171.swim,2,22,64,1,0.06979808166889519
