"name","policy","level","miss","miss_ratio"
"181.mcf","l",2,0.2692853367352163,0.9496407122525791
"181.mcf","l",3,0.20535163476704216,1.120237292514599
"181.mcf","r",1,0.30777378840441133,1.0
"181.mcf","r",2,0.2835654929920418,1.0
"181.mcf","r",3,0.18331083614087595,1.0
"183.equake","2",1,0.07085474884886117,0.9477918322398138
"183.equake","2",2,0.06167715426354194,0.9716376065360531
"183.equake","2",3,0.05945479888686477,0.9934589546034898
"183.equake","f",1,0.07648347367777117,1.023084730816676
"183.equake","f",2,0.061325441867218757,0.9660968679103328
"183.equake","f",3,0.05975698500415046,0.9985083284100615
"183.equake","l",1,0.07710286352959828,1.031370027879632
"183.equake","l",2,0.06106745942754095,0.9620327141209767
"183.equake","l",3,0.059667830597680854,0.9970186043657816
"183.equake","r",1,0.07475771201933426,1.0
"183.equake","r",2,0.06347752891474089,1.0
"183.equake","r",3,0.05984625596393605,1.0
"186.crafty","2",1,0.011758994458527483,0.8223422032091581
"186.crafty","2",2,0.0008661003424436229,0.7831272280270436
"186.crafty","2",3,2.985455931345803e-5,0.9998634066384374
"186.crafty","f",1,0.015178359763348564,1.0614688061054094
"186.crafty","f",2,0.0010476258514495506,0.9472624462200369
"186.crafty","f",3,2.9917096186336858e-5,1.0019578381823977
"186.crafty","l",1,0.011083441248751177,0.7750987150969922
"186.crafty","l",2,0.0007081512345130137,0.6403097725875846
"186.crafty","l",3,2.9782505959923725e-5,0.9974502572508309
"186.crafty","r",1,0.01429939313905874,1.0
"186.crafty","r",2,0.0011059510018897134,1.0
"186.crafty","r",3,2.9858637805167517e-5,1.0
"188.ammp","2",1,0.04955418766539099,0.9557772066143515
"188.ammp","2",2,0.0286852719308967,0.9709617184280201
"188.ammp","2",3,0.009987627731059549,0.9623128101714497
"188.ammp","f",1,0.05053956625037009,0.9747827122190107
"188.ammp","f",2,0.029868713883832745,1.0110197954457574
"188.ammp","f",3,0.010229250347416702,0.9855932672738453
"188.ammp","l",1,0.049131132197600895,0.947617517346965
"188.ammp","l",2,0.02925507025239584,0.9902487016134334
"188.ammp","l",3,0.009809615530970107,0.9451612477458545
"188.ammp","r",1,0.051847007150261235,1.0
"188.ammp","r",2,0.029543154365898112,1.0
"188.ammp","r",3,0.01037877457879846,1.0
"189.lucas","2",1,0.08645565625359276,0.9804180142007143
"189.lucas","2",2,0.1066229840729643,1.0047868572136656
"189.lucas","2",3,0.1105261704882009,0.9979495953895491
"189.lucas","f",1,0.08713365451973182,0.9881065998008259
"189.lucas","f",2,0.10041595924752098,0.9462934936933153
"189.lucas","f",3,0.10462799759764056,0.9446945226436725
"189.lucas","l",1,0.08640889177108543,0.9798876990881845
"189.lucas","l",2,0.10902823150790969,1.0274532741404903
"189.lucas","l",3,0.1189463296859072,1.0739758833478714
"189.lucas","r",1,0.08818244361215224,1.0
"189.lucas","r",2,0.10611502659244197,1.0
"189.lucas","r",3,0.1107532594820654,1.0
"191.fma3d","2",1,0.025210672718422436,0.9285388304594157
"191.fma3d","2",2,0.02395547151577596,0.9584765379884467
"191.fma3d","2",3,0.022613389190155205,0.9565527619985243
"191.fma3d","f",1,0.02596511076558692,0.956325674142341
"191.fma3d","f",2,0.02379236056923621,0.9519503456217265
"191.fma3d","f",3,0.022365573333740726,0.9460700811439667
"191.fma3d","l",1,0.024535177922921404,0.9036595599059721
"191.fma3d","l",2,0.023497938302866242,0.9401702880097877
"191.fma3d","l",3,0.02235152477858829,0.9454758232854851
"191.fma3d","r",1,0.027150908385757958,1.0
"191.fma3d","r",2,0.024993278986308078,1.0
"191.fma3d","r",3,0.02364050378455767,1.0
"197.parser","2",1,0.021817433833004576,0.9121612853403901
"197.parser","2",2,0.0057057418147013345,0.9329507091850544
"197.parser","2",3,0.0019156193007086831,0.9070212994335408
"197.parser","f",1,0.02331068720602721,0.9745924551333601
"197.parser","f",2,0.0060043873565672964,0.9817824963789494
"197.parser","f",3,0.0019279834976067736,0.9128755889224853
"197.parser","l",1,0.021172620718967042,0.8852024063353326
"197.parser","l",2,0.005644006375853627,0.9228562949396678
"197.parser","l",3,0.0018542260444319562,0.8779523758410647
"197.parser","r",1,0.02391839489752406,1.0
"197.parser","r",2,0.006115802001678503,1.0
"197.parser","r",3,0.0021119893236300393,1.0
"200.sixtrack","2",1,0.002271797643118572,0.8053577031071748
"200.sixtrack","2",2,0.0021820465676665947,0.9849088580588015
"200.sixtrack","2",3,0.00012128759071560536,1.2118373128288142
"200.sixtrack","f",1,0.0027270579835833642,0.9667485836827908
"200.sixtrack","f",2,0.002220912305171365,1.0024516592577561
"200.sixtrack","f",3,0.0002377794924930993,2.375758802104411
"200.sixtrack","l",1,0.002166339066229098,0.7679723851348974
"200.sixtrack","l",2,0.002164793833686962,0.9771215033918277
"200.sixtrack","l",3,0.00022804229975051501,2.278470254957507
"200.sixtrack","r",1,0.0028208554215768734,1.0
"200.sixtrack","r",2,0.002215480701399399,1.0
"200.sixtrack","r",3,0.0001000857041053485,1.0
"252.eon","2",1,0.001116810444514129,0.7707050524866804
"252.eon","2",2,1.6118219677134522e-6,1.0
"252.eon","2",3,1.6118219677134522e-6,1.0
"252.eon","f",1,0.0012779216223098853,0.8818870344865795
"252.eon","f",2,1.6118219677134522e-6,1.0
"252.eon","f",3,1.6118219677134522e-6,1.0
"252.eon","l",1,0.0009493353489492972,0.655131364085459
"252.eon","l",2,1.6118219677134522e-6,1.0
"252.eon","l",3,1.6118219677134522e-6,1.0
"252.eon","r",1,0.0014490763242186351,1.0
"252.eon","r",2,1.6118219677134522e-6,1.0
"252.eon","r",3,1.6118219677134522e-6,1.0
"253.perlbmk","2",1,0.004282546557145242,0.9385843263716847
"253.perlbmk","2",2,0.001397543857985436,0.8763556996971311
"253.perlbmk","2",3,0.0003712468934244377,0.8763910663661955
"253.perlbmk","f",1,0.004600712772269697,1.0083152256653702
"253.perlbmk","f",2,0.0014859000902659916,0.9317611077781671
"253.perlbmk","f",3,0.000405624665821724,0.9575456110753604
"253.perlbmk","l",1,0.004216229652360605,0.9240499817769965
"253.perlbmk","l",2,0.001283628741802737,0.8049231211931015
"253.perlbmk","l",3,0.0003484918666593111,0.8226739780212134
"253.perlbmk","r",1,0.0045627722910102485,1.0
"253.perlbmk","r",2,0.0015947221641491322,1.0
"253.perlbmk","r",3,0.00042360871495843627,1.0
"254.gap","2",1,0.009657192098875547,0.9369546508171014
"254.gap","2",2,0.009107826694866681,0.9485474059690323
"254.gap","2",3,0.009042719982838005,0.9458879690821004
"254.gap","f",1,0.00953001299597413,0.9246155515499238
"254.gap","f",2,0.009092712242396444,0.9469732900834757
"254.gap","f",3,0.008988145067013236,0.9401793154479849
"254.gap","l",1,0.0093287203390512,0.9050858488011061
"254.gap","l",2,0.00905259841279986,0.9427955789475394
"254.gap","l",3,0.008975454434438965,0.9388518479719571
"254.gap","r",1,0.010307000547415696,1.0
"254.gap","r",2,0.009601867695333752,1.0
"254.gap","r",3,0.009560032771759593,1.0
"255.vortex","2",1,0.010957943153944286,0.8997368032194072
"255.vortex","2",2,0.004851680126363072,0.8469619134158488
"255.vortex","2",3,0.001432685667891851,0.8874730049076203
"255.vortex","f",1,0.011656112314778574,0.9570622045333674
"255.vortex","f",2,0.005786915726309479,1.0102267850880486
"255.vortex","f",3,0.0015937417910479354,0.9872387558880311
"255.vortex","l",1,0.0105429177150315,0.8656598184772741
"255.vortex","l",2,0.004147922028339344,0.7241062655248796
"255.vortex","l",3,0.0013459672871599124,0.8337555540712892
"255.vortex","r",1,0.01217905404639996,1.0
"255.vortex","r",2,0.005728333292811185,1.0
"255.vortex","r",3,0.0016143428137749198,1.0
"300.twolf","2",1,0.06481466292057177,0.9071861307735032
"300.twolf","2",2,0.04316770363370742,0.9415365476724002
"300.twolf","2",3,3.9664348812599015e-5,0.9982838183135655
"300.twolf","f",1,0.06753262848035833,0.9452284586766823
"300.twolf","f",2,0.044592503230176016,0.9726130419090906
"300.twolf","f",3,3.977648060554417e-5,1.0011059837534801
"300.twolf","l",1,0.0630545195596502,0.8825500750841
