name,policy,level,miss
255.vortex,f,1,0.011656112314778574
255.vortex,f,2,0.005786915726309479
255.vortex,f,3,0.0015937417910479354
255.vortex,l,1,0.0105429177150315
255.vortex,l,2,0.004147922028339344
255.vortex,l,3,0.0013459672871599124
255.vortex,r,1,0.01217905404639996
255.vortex,r,2,0.005728333292811185
255.vortex,r,3,0.0016143428137749198
300.twolf,2,1,0.06481466292057177
300.twolf,2,2,0.04316770363370742
300.twolf,2,3,0.000039664348812599015
300.twolf,f,1,0.06753262848035833
300.twolf,f,2,0.044592503230176016
300.twolf,f,3,0.00003977648060554417
300.twolf,l,1,0.0630545195596502
300.twolf,l,2,0.04174637406164214
300.twolf,l,3,0.00003963858880611162
300.twolf,r,1,0.07144582651997577
300.twolf,r,2,0.04584814444051434
300.twolf,r,3,0.00003973253706506566
301.apsi,2,1,0.030421845591801423
301.apsi,2,2,0.02207884261693115
301.apsi,2,3,0.008372928241779036
301.apsi,f,1,0.032001074520624256
301.apsi,f,2,0.021397226882716565
301.apsi,f,3,0.008302216758863877
301.apsi,l,1,0.030360660904360178
301.apsi,l,2,0.021352566928198678
301.apsi,l,3,0.008283841642020178
301.apsi,r,1,0.03187771559260175
301.apsi,r,2,0.02298540871982642
301.apsi,r,3,0.009018769886867098
