"name","policy","size","assoc","level","miss","miss_ratio"
"168.wupwise","l",25,4,1,0.00931795635724882,1.0
"168.wupwise","l",25,64,1,0.009311380474540243,1.0
"168.wupwise","l",25,8,1,0.009279967392406835,1.0
"171.swim","2",16,16,1,0.08511715954957083,0.9810166640983109
"171.swim","2",16,32,1,0.08539924696834701,0.984265493712545
"171.swim","2",16,4,1,0.08457063296166402,1.0030397320768976
"171.swim","2",16,64,1,0.08531705637464981,0.9833181576792149
"171.swim","2",16,8,1,0.08531403865635653,0.9832889821334287
"171.swim","2",17,16,1,0.07841790255001167,0.9886287314984502
"171.swim","2",17,32,1,0.0782914216521251,0.9870305469485283
"171.swim","2",17,4,1,0.08025286093124039,0.980848343380847
"171.swim","2",17,64,1,0.07884561199662543,0.9940072685330229
"171.swim","2",17,8,1,0.07763273729521539,0.978611295120735
"171.swim","2",18,16,1,0.07210507784578699,1.0327110418960153
"171.swim","2",18,32,1,0.07247088678342581,1.0379498172515504
"171.swim","2",18,4,1,0.0714256346914801,1.0229896591716452
"171.swim","2",18,64,1,0.07246887801481909,1.0379210470639513
"171.swim","2",18,8,1,0.07234192688246321,1.036101866335618
"171.swim","2",19,16,1,0.07040221426198288,1.0083974720612847
"171.swim","2",19,32,1,0.07039171540242398,1.0082617957622027
"171.swim","2",19,4,1,0.06981910373672338,1.000026286964327
"171.swim","2",19,64,1,0.07049692161461212,1.0097763636968424
"171.swim","2",19,8,1,0.07016131725220524,1.0049144415407836
"171.swim","2",20,16,1,0.06989342665337761,1.0011607835518948
"171.swim","2",20,32,1,0.06995427255883402,1.0020439015838816
"171.swim","2",20,4,1,0.06981476966627495,0.999996708573286
"171.swim","2",20,64,1,0.06995530890081976,1.0020637267628556
"171.swim","2",20,8,1,0.06981494315083643,0.9999942454811059
"171.swim","2",21,16,1,0.06980843139260298,1.0000054281245783
"171.swim","2",21,32,1,0.06982579202310712,1.0002790430758361
"171.swim","2",21,4,1,0.06980717286863498,1.0000043382132053
"171.swim","2",21,64,1,0.06984075126204958,1.0005054664983144
"171.swim","2",21,8,1,0.06980793072224571,1.0000014605843863
"171.swim","2",22,16,1,0.06979502286215314,0.9999914311930912
"171.swim","2",22,32,1,0.06979525569669619,0.9999900140078612
"171.swim","2",22,4,1,0.06979292887306007,1.0000078278483884
"171.swim","2",22,64,1,0.06979808166889519,1.0000537250130994
"171.swim","2",22,8,1,0.06979435022902876,0.9999888582919512
"171.swim","2",23,16,1,0.06972233891806667,0.9993001433433462
"171.swim","2",23,32,1,0.06971950685869008,0.9992506821453424
"171.swim","2",23,4,1,0.06974153026723283,0.999620751015942
"171.swim","2",23,64,1,0.06971801550017902,0.9992266920389324
"171.swim","2",23,8,1,0.0697288871993657,0.9994261065193502
"171.swim","2",24,16,1,0.06916076178355345,0.9959795359684754
"171.swim","2",24,32,1,0.06915225951824606,0.9956956205400775
"171.swim","2",24,4,1,0.0692104164129994,0.9987210602270176
"171.swim","2",24,64,1,0.06914974551389887,0.9954343914397868
"171.swim","2",24,8,1,0.06917083910606382,0.997033651143055
"171.swim","2",25,16,1,0.06722974165268038,0.996264802483661
"171.swim","2",25,32,1,0.06723924221511351,0.9954004148520857
"171.swim","2",25,4,1,0.06686909007625987,0.9977344832024105
"171.swim","2",25,64,1,0.06722747570082022,0.9948624894098762
"171.swim","2",25,8,1,0.06719837290473317,0.998771251524372
"171.swim","l",16,16,1,0.0867642341507065,1.0
"171.swim","l",16,32,1,0.08676444263653917,1.0
"171.swim","l",16,4,1,0.08431433995795139,1.0
"171.swim","l",16,64,1,0.08676444720192236,1.0
"171.swim","l",16,8,1,0.08676395261874269,1.0
"171.swim","l",17,16,1,0.07931987009031671,1.0
