name,policy,size,level,miss
171.swim,r,25,1,0.06646074394157937
172.mgrid,2,16,1,0.034621861342312855
172.mgrid,2,17,1,0.03405600983994321
172.mgrid,2,18,1,0.033295375317423194
172.mgrid,2,19,1,0.02974004884461673
172.mgrid,2,20,1,0.024112496229471952
172.mgrid,2,21,1,0.021782221190645233
172.mgrid,2,22,1,0.02062841884744414
172.mgrid,2,23,1,0.02001602970711122
172.mgrid,2,24,1,0.018905565402000453
172.mgrid,2,25,1,0.01353302817166703
172.mgrid,f,16,1,0.034638018566724896
172.mgrid,f,17,1,0.03407111700262088
172.mgrid,f,18,1,0.03357839372111399
172.mgrid,f,19,1,0.030664429856730607
172.mgrid,f,20,1,0.021624724284157987
172.mgrid,f,21,1,0.021405792589376672
172.mgrid,f,22,1,0.02054425468364766
172.mgrid,f,23,1,0.020002693236769932
172.mgrid,f,24,1,0.019197352164330626
172.mgrid,f,25,1,0.01405823748071275
172.mgrid,l,16,1,0.034483682826478484
172.mgrid,l,17,1,0.03433105738286086
172.mgrid,l,18,1,0.03354278907885558
172.mgrid,l,19,1,0.03269371465096713
172.mgrid,l,20,1,0.021595496879569978
172.mgrid,l,21,1,0.021450807980982544
172.mgrid,l,22,1,0.020675188459829776
172.mgrid,l,23,1,0.020003883306735543
172.mgrid,l,24,1,0.019325639510416198
172.mgrid,l,25,1,0.016236368868952907
172.mgrid,r,16,1,0.037514968098129355
172.mgrid,r,17,1,0.034615571952944416
172.mgrid,r,18,1,0.03318950850515346
172.mgrid,r,19,1,0.029950893005098858
172.mgrid,r,20,1,0.02576970503127609
172.mgrid,r,21,1,0.0232013103068384
172.mgrid,r,22,1,0.02137317067149574
172.mgrid,r,23,1,0.02065601694055674
172.mgrid,r,24,1,0.018878729118381413
172.mgrid,r,25,1,0.012532529351164315
173.applu,2,16,1,0.05586930812040718
173.applu,2,17,1,0.0552764170641247
173.applu,2,18,1,0.05511719380974352
173.applu,2,19,1,0.0550723227773729
173.applu,2,20,1,0.05500406404621775
173.applu,2,21,1,0.05440013552483649
173.applu,2,22,1,0.05325076539840316
173.applu,2,23,1,0.05100387754145945
173.applu,2,24,1,0.04175730103448285
173.applu,2,25,1,0.0390493670174099
173.applu,f,16,1,0.05568639875125159
173.applu,f,17,1,0.05538882958220115
173.applu,f,18,1,0.05523845933551926
173.applu,f,19,1,0.055143691317264536
173.applu,f,20,1,0.05507135946961615
173.applu,f,21,1,0.05474912517192982
173.applu,f,22,1,0.05276624908243954
173.applu,f,23,1,0.05145902736810476
173.applu,f,24,1,0.04160239041469203
173.applu,f,25,1,0.03862251435611922
173.applu,l,16,1,0.05510165392795557
173.applu,l,17,1,0.05509798000829089
173.applu,l,18,1,0.055089892673197166
173.applu,l,19,1,0.0550676044017437
173.applu,l,20,1,0.05503407972119821
173.applu,l,21,1,0.054702904723394515
173.applu,l,22,1,0.052764563293865224
173.applu,l,23,1,0.05163513337622828
173.applu,l,24,1,0.04067460332262698
173.applu,l,25,1,0.038550208685312046
173.applu,r,16,1,0.05736986282206981
173.applu,r,17,1,0.05618912106028102
173.applu,r,18,1,0.055629218059299095
173.applu,r,19,1,0.05534183299032379
173.applu,r,20,1,0.05504604384647604
173.applu,r,21,1,0.05441940953302392
173.applu,r,22,1,0.05334308980853036
173.applu,r,23,1,0.05028205245376697
173.applu,r,24,1,0.043029613313371816
173.applu,r,25,1,0.03950937395694286
176.gcc,2,16,1,0.02713328794790671
176.gcc,2,17,1,0.025909436468004428
176.gcc,2,18,1,0.024102218983969314
176.gcc,2,19,1,0.006240208492336531
176.gcc,2,20,1,0.0023990043767638035
176.gcc,2,21,1,0.0021558434232159204
176.gcc,2,22,1,0.0014133766403473874
176.gcc,2,23,1,0.0006162906519560271
176.gcc,2,24,1,0.0003344820700136433
176.gcc,2,25,1,0.00030934317027696924
176.gcc,f,16,1,0.027483206234921474
176.gcc,f,17,1,0.026098183533354254
176.gcc,f,18,1,0.02529745747986859
176.gcc,f,19,1,0.01139795622510486
176.gcc,f,20,1,0.0025191658613726224
176.gcc,f,21,1,0.00230815817653992
176.gcc,f,22,1,0.0016377510586787292
176.gcc,f,23,1,0.0006670779070342975
176.gcc,f,24,1,0.00034583400733462374
176.gcc,f,25,1,0.0003094966785571718
176.gcc,l,16,1,0.026987061716746245
176.gcc,l,17,1,0.02584143517815494
176.gcc,l,18,1,0.025158055651189882
176.gcc,l,19,1,0.011222361941088142
176.gcc,l,20,1,0.002318044109784966
176.gcc,l,21,1,0.002233770942234006
176.gcc,l,22,1,0.001621789075817915
176.gcc,l,23,1,0.0006070753580101162
176.gcc,l,24,1,0.0003199745781077488
176.gcc,l,25,1,0.00030918582428976157
176.gcc,r,16,1,0.027685086893069383
176.gcc,r,17,1,0.025968872955245362
176.gcc,r,18,1,0.021787387994374338
176.gcc,r,19,1,0.005746475013587234
176.gcc,r,20,1,0.002554132169322515
176.gcc,r,21,1,0.002119168376222023
176.gcc,r,22,1,0.0013767869823343526
176.gcc,r,23,1,0.0006722904725739261
176.gcc,r,24,1,0.0003517814937657222
176.gcc,r,25,1,0.00030960221549981105
177.mesa,2,16,1,0.003231218501219987
177.mesa,2,17,1,0.002057627851250078
177.mesa,2,18,1,0.0016307789991289877
177.mesa,2,19,1,0.0015689226982425876
177.mesa,2,20,1,0.001541957014949898
177.mesa,2,21,1,0.001473222419890279
177.mesa,2,22,1,0.0012515137261515027
177.mesa,2,23,1,0.0002916506489458219
177.mesa,2,24,1,0.00017257540773927445
177.mesa,2,25,1,0.00017257540773927445
177.mesa,f,16,1,0.00353718107191339
177.mesa,f,17,1,0.002091991882112822
177.mesa,f,18,1,0.0016474951878368124
177.mesa,f,19,1,0.0015914261143237381
177.mesa,f,20,1,0.0015592821103987409
177.mesa,f,21,1,0.0014922265822108138
177.mesa,f,22,1,0.0012488677258284085
177.mesa,f,23,1,0.00048047445866913457
177.mesa,f,24,1,0.00017257540773927445
177.mesa,f,25,1,0.00017257540773927445
177.mesa,l,16,1,0.0033076219238826875
177.mesa,l,17,1,0.001978404641576396
177.mesa,l,18,1,0.001568251071493911
177.mesa,l,19,1,0.0015556678699574181
177.mesa,l,20,1,0.0015461670954639768
177.mesa,l,21,1,0.0014874585549619393
177.mesa,l,22,1,0.0012792594895394455
177.mesa,l,23,1,0.0004437910941898512
177.mesa,l,24,1,0.00017257540773927445
177.mesa,l,25,1,0.00017257540773927445
177.mesa,r,16,1,0.003353965476208211
177.mesa,r,17,1,0.0022555931020896217
177.mesa,r,18,1,0.001780317870722014
177.mesa,r,19,1,0.001641251933741136
177.mesa,r,20,1,0.0015681935781535572
177.mesa,r,21,1,0.0014667648724351026
177.mesa,r,22,1,0.0011692472894395557
177.mesa,r,23,1,0.00026237869870485495
177.mesa,r,24,1,0.00017257540773927445
177.mesa,r,25,1,0.00017257540773927445
178.galgel,2,16,1,0.030056034325575458
178.galgel,2,17,1,0.02920274550630916
178.galgel,2,18,1,0.028582483109237583
178.galgel,2,19,1,0.025421119425596692
178.galgel,2,20,1,0.008079406449939888
178.galgel,2,21,1,0.00020770246799454463
178.galgel,2,22,1,0.00016513156814435196
178.galgel,2,23,1,0.00015353949781740956
